2023-07-21 07:22:22,074 INFO    StreamThr :4668 [internal.py:wandb_internal():86] W&B internal server running at pid: 4668, started at: 2023-07-21 07:22:22.074888
2023-07-21 07:22:22,074 DEBUG   HandlerThread:4668 [handler.py:handle_request():144] handle_request: status
2023-07-21 07:22:22,090 INFO    WriterThread:4668 [datastore.py:open_for_write():85] open: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_072222-3hwouy3k\run-3hwouy3k.wandb
2023-07-21 07:22:22,090 DEBUG   SenderThread:4668 [sender.py:send():369] send: header
2023-07-21 07:22:22,121 DEBUG   SenderThread:4668 [sender.py:send():369] send: run
2023-07-21 07:22:23,402 INFO    SenderThread:4668 [dir_watcher.py:__init__():211] watching files in: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_072222-3hwouy3k\files
2023-07-21 07:22:23,402 INFO    SenderThread:4668 [sender.py:_start_run_threads():1100] run started: 3hwouy3k with start time 1689904342.074888
2023-07-21 07:22:23,402 DEBUG   SenderThread:4668 [sender.py:send_request():396] send_request: summary_record
2023-07-21 07:22:23,402 DEBUG   HandlerThread:4668 [handler.py:handle_request():144] handle_request: check_version
2023-07-21 07:22:23,402 INFO    SenderThread:4668 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-07-21 07:22:23,402 DEBUG   SenderThread:4668 [sender.py:send_request():396] send_request: check_version
2023-07-21 07:22:23,580 DEBUG   HandlerThread:4668 [handler.py:handle_request():144] handle_request: run_start
2023-07-21 07:22:23,611 DEBUG   HandlerThread:4668 [system_info.py:__init__():31] System info init
2023-07-21 07:22:23,611 DEBUG   HandlerThread:4668 [system_info.py:__init__():46] System info init done
2023-07-21 07:22:23,611 INFO    HandlerThread:4668 [system_monitor.py:start():181] Starting system monitor
2023-07-21 07:22:23,611 INFO    SystemMonitor:4668 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-07-21 07:22:23,611 INFO    HandlerThread:4668 [system_monitor.py:probe():201] Collecting system info
2023-07-21 07:22:23,611 INFO    SystemMonitor:4668 [interfaces.py:start():190] Started cpu monitoring
2023-07-21 07:22:23,611 INFO    SystemMonitor:4668 [interfaces.py:start():190] Started disk monitoring
2023-07-21 07:22:23,611 INFO    SystemMonitor:4668 [interfaces.py:start():190] Started gpu monitoring
2023-07-21 07:22:23,611 INFO    SystemMonitor:4668 [interfaces.py:start():190] Started memory monitoring
2023-07-21 07:22:23,627 INFO    SystemMonitor:4668 [interfaces.py:start():190] Started network monitoring
2023-07-21 07:22:23,643 DEBUG   HandlerThread:4668 [system_info.py:probe():195] Probing system
2023-07-21 07:22:23,643 DEBUG   HandlerThread:4668 [system_info.py:_probe_git():180] Probing git
2023-07-21 07:22:23,721 DEBUG   HandlerThread:4668 [system_info.py:_probe_git():188] Probing git done
2023-07-21 07:22:23,721 DEBUG   HandlerThread:4668 [system_info.py:probe():240] Probing system done
2023-07-21 07:22:23,721 DEBUG   HandlerThread:4668 [system_monitor.py:probe():210] {'os': 'Windows-10-10.0.22621-SP0', 'python': '3.11.3', 'heartbeatAt': '2023-07-21T01:52:23.643183', 'startedAt': '2023-07-21T01:52:22.059321', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'c:\\Users\\soham\\Automated-renal-compartment-segmentation-of-the-kidneys\\main.py', 'codePath': 'main.py', 'git': {'remote': 'https://github.com/sohamtalukdar/Automated-renal-compartment-segmentation-of-the-kidneys.git', 'commit': 'da2b51a93b575dad875e931859fffe71f401927b'}, 'email': None, 'root': 'C:/Users/soham/Automated-renal-compartment-segmentation-of-the-kidneys', 'host': 'DESKTOP-JBMBUJO', 'username': 'soham', 'executable': 'C:\\Users\\soham\\anaconda3\\python.exe', 'cpu_count': 4, 'cpu_count_logical': 4, 'cpu_freq': {'current': 3600.0, 'min': 0.0, 'max': 3600.0}, 'cpu_freq_per_core': [{'current': 3600.0, 'min': 0.0, 'max': 3600.0}], 'disk': {'total': 129.74865341186523, 'used': 75.99282836914062}, 'gpu': 'NVIDIA GeForce GTX 1660 SUPER', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce GTX 1660 SUPER', 'memory_total': 6442450944}], 'memory': {'total': 15.943431854248047}}
2023-07-21 07:22:23,721 INFO    HandlerThread:4668 [system_monitor.py:probe():211] Finished collecting system info
2023-07-21 07:22:23,721 INFO    HandlerThread:4668 [system_monitor.py:probe():214] Publishing system info
2023-07-21 07:22:23,721 DEBUG   HandlerThread:4668 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-07-21 07:22:23,721 DEBUG   HandlerThread:4668 [system_info.py:_save_pip():67] Saving pip packages done
2023-07-21 07:22:23,721 DEBUG   HandlerThread:4668 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
2023-07-21 07:22:24,419 INFO    Thread-16 :4668 [dir_watcher.py:_on_file_created():272] file/dir created: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_072222-3hwouy3k\files\conda-environment.yaml
2023-07-21 07:22:24,419 INFO    Thread-16 :4668 [dir_watcher.py:_on_file_created():272] file/dir created: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_072222-3hwouy3k\files\requirements.txt
2023-07-21 07:22:24,419 INFO    Thread-16 :4668 [dir_watcher.py:_on_file_created():272] file/dir created: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_072222-3hwouy3k\files\wandb-summary.json
2023-07-21 07:22:37,261 DEBUG   HandlerThread:4668 [system_info.py:_save_conda():86] Saving conda packages done
2023-07-21 07:22:37,261 INFO    HandlerThread:4668 [system_monitor.py:probe():216] Finished publishing system info
2023-07-21 07:22:37,261 DEBUG   HandlerThread:4668 [handler.py:handle_request():144] handle_request: status_report
2023-07-21 07:22:37,261 DEBUG   HandlerThread:4668 [handler.py:handle_request():144] handle_request: keepalive
