2023-07-21 10:50:01,976 INFO    StreamThr :11112 [internal.py:wandb_internal():86] W&B internal server running at pid: 11112, started at: 2023-07-21 10:50:01.975688
2023-07-21 10:50:01,978 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: status
2023-07-21 10:50:01,987 INFO    WriterThread:11112 [datastore.py:open_for_write():85] open: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105001-7pr2dzb3\run-7pr2dzb3.wandb
2023-07-21 10:50:01,988 DEBUG   SenderThread:11112 [sender.py:send():369] send: header
2023-07-21 10:50:02,028 DEBUG   SenderThread:11112 [sender.py:send():369] send: run
2023-07-21 10:50:02,953 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: check_version
2023-07-21 10:50:02,953 INFO    SenderThread:11112 [dir_watcher.py:__init__():211] watching files in: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105001-7pr2dzb3\files
2023-07-21 10:50:02,953 INFO    SenderThread:11112 [sender.py:_start_run_threads():1100] run started: 7pr2dzb3 with start time 1689916801.980978
2023-07-21 10:50:02,953 DEBUG   SenderThread:11112 [sender.py:send_request():396] send_request: summary_record
2023-07-21 10:50:02,953 INFO    SenderThread:11112 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-07-21 10:50:02,953 DEBUG   SenderThread:11112 [sender.py:send_request():396] send_request: check_version
2023-07-21 10:50:03,141 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: run_start
2023-07-21 10:50:03,172 DEBUG   HandlerThread:11112 [system_info.py:__init__():31] System info init
2023-07-21 10:50:03,172 DEBUG   HandlerThread:11112 [system_info.py:__init__():46] System info init done
2023-07-21 10:50:03,172 INFO    HandlerThread:11112 [system_monitor.py:start():181] Starting system monitor
2023-07-21 10:50:03,172 INFO    SystemMonitor:11112 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-07-21 10:50:03,172 INFO    HandlerThread:11112 [system_monitor.py:probe():201] Collecting system info
2023-07-21 10:50:03,172 INFO    SystemMonitor:11112 [interfaces.py:start():190] Started cpu monitoring
2023-07-21 10:50:03,172 INFO    SystemMonitor:11112 [interfaces.py:start():190] Started disk monitoring
2023-07-21 10:50:03,172 INFO    SystemMonitor:11112 [interfaces.py:start():190] Started gpu monitoring
2023-07-21 10:50:03,172 INFO    SystemMonitor:11112 [interfaces.py:start():190] Started memory monitoring
2023-07-21 10:50:03,188 INFO    SystemMonitor:11112 [interfaces.py:start():190] Started network monitoring
2023-07-21 10:50:03,188 DEBUG   HandlerThread:11112 [system_info.py:probe():195] Probing system
2023-07-21 10:50:03,188 DEBUG   HandlerThread:11112 [system_info.py:_probe_git():180] Probing git
2023-07-21 10:50:03,266 DEBUG   HandlerThread:11112 [system_info.py:_probe_git():188] Probing git done
2023-07-21 10:50:03,266 DEBUG   HandlerThread:11112 [system_info.py:probe():240] Probing system done
2023-07-21 10:50:03,266 DEBUG   HandlerThread:11112 [system_monitor.py:probe():210] {'os': 'Windows-10-10.0.22621-SP0', 'python': '3.11.3', 'heartbeatAt': '2023-07-21T05:20:03.188239', 'startedAt': '2023-07-21T05:20:01.956349', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'c:\\Users\\soham\\Automated-renal-compartment-segmentation-of-the-kidneys\\main.py', 'codePath': 'main.py', 'git': {'remote': 'https://github.com/sohamtalukdar/Automated-renal-compartment-segmentation-of-the-kidneys.git', 'commit': 'da2b51a93b575dad875e931859fffe71f401927b'}, 'email': None, 'root': 'C:/Users/soham/Automated-renal-compartment-segmentation-of-the-kidneys', 'host': 'DESKTOP-JBMBUJO', 'username': 'soham', 'executable': 'C:\\Users\\soham\\anaconda3\\python.exe', 'cpu_count': 4, 'cpu_count_logical': 4, 'cpu_freq': {'current': 3600.0, 'min': 0.0, 'max': 3600.0}, 'cpu_freq_per_core': [{'current': 3600.0, 'min': 0.0, 'max': 3600.0}], 'disk': {'total': 129.74865341186523, 'used': 87.58607864379883}, 'gpu': 'NVIDIA GeForce GTX 1660 SUPER', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce GTX 1660 SUPER', 'memory_total': 6442450944}], 'memory': {'total': 15.943431854248047}}
2023-07-21 10:50:03,266 INFO    HandlerThread:11112 [system_monitor.py:probe():211] Finished collecting system info
2023-07-21 10:50:03,266 INFO    HandlerThread:11112 [system_monitor.py:probe():214] Publishing system info
2023-07-21 10:50:03,266 DEBUG   HandlerThread:11112 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-07-21 10:50:03,266 DEBUG   HandlerThread:11112 [system_info.py:_save_pip():67] Saving pip packages done
2023-07-21 10:50:03,266 DEBUG   HandlerThread:11112 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
2023-07-21 10:50:03,976 INFO    Thread-16 :11112 [dir_watcher.py:_on_file_created():272] file/dir created: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105001-7pr2dzb3\files\requirements.txt
2023-07-21 10:50:03,977 INFO    Thread-16 :11112 [dir_watcher.py:_on_file_created():272] file/dir created: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105001-7pr2dzb3\files\conda-environment.yaml
2023-07-21 10:50:03,977 INFO    Thread-16 :11112 [dir_watcher.py:_on_file_created():272] file/dir created: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105001-7pr2dzb3\files\wandb-summary.json
2023-07-21 10:50:17,001 DEBUG   HandlerThread:11112 [system_info.py:_save_conda():86] Saving conda packages done
2023-07-21 10:50:17,001 INFO    HandlerThread:11112 [system_monitor.py:probe():216] Finished publishing system info
2023-07-21 10:50:17,001 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: status_report
2023-07-21 10:50:17,001 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: keepalive
2023-07-21 10:50:17,001 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: status_report
2023-07-21 10:50:17,001 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: keepalive
2023-07-21 10:50:17,016 DEBUG   SenderThread:11112 [sender.py:send():369] send: files
2023-07-21 10:50:17,016 INFO    SenderThread:11112 [sender.py:_save_file():1354] saving file wandb-metadata.json with policy now
2023-07-21 10:50:17,016 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: stop_status
2023-07-21 10:50:17,016 DEBUG   SenderThread:11112 [sender.py:send_request():396] send_request: stop_status
2023-07-21 10:50:17,065 INFO    Thread-16 :11112 [dir_watcher.py:_on_file_modified():289] file/dir modified: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105001-7pr2dzb3\files\conda-environment.yaml
2023-07-21 10:50:17,065 INFO    Thread-16 :11112 [dir_watcher.py:_on_file_created():272] file/dir created: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105001-7pr2dzb3\files\wandb-metadata.json
2023-07-21 10:50:17,313 DEBUG   SenderThread:11112 [sender.py:send():369] send: telemetry
2023-07-21 10:50:17,313 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: status_report
2023-07-21 10:50:17,995 INFO    wandb-upload_0:11112 [upload_job.py:push():133] Uploaded file C:\Users\soham\AppData\Local\Temp\tmp3sdx7d9owandb\izxfp8jl-wandb-metadata.json
2023-07-21 10:50:22,345 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: status_report
2023-07-21 10:50:25,329 DEBUG   SenderThread:11112 [sender.py:send():369] send: exit
2023-07-21 10:50:25,329 INFO    SenderThread:11112 [sender.py:send_exit():574] handling exit code: 1
2023-07-21 10:50:25,329 INFO    SenderThread:11112 [sender.py:send_exit():576] handling runtime: 22
2023-07-21 10:50:25,329 INFO    SenderThread:11112 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-07-21 10:50:25,329 INFO    SenderThread:11112 [sender.py:send_exit():582] send defer
2023-07-21 10:50:25,329 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:50:25,329 INFO    HandlerThread:11112 [handler.py:handle_request_defer():170] handle defer: 0
2023-07-21 10:50:25,329 DEBUG   SenderThread:11112 [sender.py:send_request():396] send_request: defer
2023-07-21 10:50:25,329 INFO    SenderThread:11112 [sender.py:send_request_defer():598] handle sender defer: 0
2023-07-21 10:50:25,329 INFO    SenderThread:11112 [sender.py:transition_state():602] send defer: 1
2023-07-21 10:50:25,329 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:50:25,329 INFO    HandlerThread:11112 [handler.py:handle_request_defer():170] handle defer: 1
2023-07-21 10:50:25,329 DEBUG   SenderThread:11112 [sender.py:send_request():396] send_request: defer
2023-07-21 10:50:25,329 INFO    SenderThread:11112 [sender.py:send_request_defer():598] handle sender defer: 1
2023-07-21 10:50:25,329 INFO    SenderThread:11112 [sender.py:transition_state():602] send defer: 2
2023-07-21 10:50:25,329 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:50:25,329 INFO    HandlerThread:11112 [handler.py:handle_request_defer():170] handle defer: 2
2023-07-21 10:50:25,329 INFO    HandlerThread:11112 [system_monitor.py:finish():190] Stopping system monitor
2023-07-21 10:50:25,329 DEBUG   SystemMonitor:11112 [system_monitor.py:_start():159] Starting system metrics aggregation loop
2023-07-21 10:50:25,329 DEBUG   SystemMonitor:11112 [system_monitor.py:_start():166] Finished system metrics aggregation loop
2023-07-21 10:50:25,329 DEBUG   SystemMonitor:11112 [system_monitor.py:_start():170] Publishing last batch of metrics
2023-07-21 10:50:25,329 INFO    HandlerThread:11112 [interfaces.py:finish():202] Joined cpu monitor
2023-07-21 10:50:25,329 INFO    HandlerThread:11112 [interfaces.py:finish():202] Joined disk monitor
2023-07-21 10:50:25,380 INFO    HandlerThread:11112 [interfaces.py:finish():202] Joined gpu monitor
2023-07-21 10:50:25,381 INFO    HandlerThread:11112 [interfaces.py:finish():202] Joined memory monitor
2023-07-21 10:50:25,381 INFO    HandlerThread:11112 [interfaces.py:finish():202] Joined network monitor
2023-07-21 10:50:25,382 DEBUG   SenderThread:11112 [sender.py:send_request():396] send_request: defer
2023-07-21 10:50:25,382 INFO    SenderThread:11112 [sender.py:send_request_defer():598] handle sender defer: 2
2023-07-21 10:50:25,382 INFO    SenderThread:11112 [sender.py:transition_state():602] send defer: 3
2023-07-21 10:50:25,382 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:50:25,382 INFO    HandlerThread:11112 [handler.py:handle_request_defer():170] handle defer: 3
2023-07-21 10:50:25,382 DEBUG   SenderThread:11112 [sender.py:send_request():396] send_request: defer
2023-07-21 10:50:25,382 INFO    SenderThread:11112 [sender.py:send_request_defer():598] handle sender defer: 3
2023-07-21 10:50:25,382 INFO    SenderThread:11112 [sender.py:transition_state():602] send defer: 4
2023-07-21 10:50:25,382 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:50:25,382 INFO    HandlerThread:11112 [handler.py:handle_request_defer():170] handle defer: 4
2023-07-21 10:50:25,382 DEBUG   SenderThread:11112 [sender.py:send_request():396] send_request: defer
2023-07-21 10:50:25,382 INFO    SenderThread:11112 [sender.py:send_request_defer():598] handle sender defer: 4
2023-07-21 10:50:25,382 INFO    SenderThread:11112 [sender.py:transition_state():602] send defer: 5
2023-07-21 10:50:25,382 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:50:25,382 INFO    HandlerThread:11112 [handler.py:handle_request_defer():170] handle defer: 5
2023-07-21 10:50:25,383 DEBUG   SenderThread:11112 [sender.py:send():369] send: summary
2023-07-21 10:50:25,383 INFO    SenderThread:11112 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-07-21 10:50:25,384 DEBUG   SenderThread:11112 [sender.py:send_request():396] send_request: defer
2023-07-21 10:50:25,384 INFO    SenderThread:11112 [sender.py:send_request_defer():598] handle sender defer: 5
2023-07-21 10:50:25,385 INFO    SenderThread:11112 [sender.py:transition_state():602] send defer: 6
2023-07-21 10:50:25,385 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:50:25,385 INFO    HandlerThread:11112 [handler.py:handle_request_defer():170] handle defer: 6
2023-07-21 10:50:25,385 DEBUG   SenderThread:11112 [sender.py:send_request():396] send_request: defer
2023-07-21 10:50:25,385 INFO    SenderThread:11112 [sender.py:send_request_defer():598] handle sender defer: 6
2023-07-21 10:50:25,388 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: status_report
2023-07-21 10:50:25,765 INFO    SenderThread:11112 [sender.py:transition_state():602] send defer: 7
2023-07-21 10:50:25,765 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:50:25,765 INFO    HandlerThread:11112 [handler.py:handle_request_defer():170] handle defer: 7
2023-07-21 10:50:25,765 DEBUG   SenderThread:11112 [sender.py:send_request():396] send_request: defer
2023-07-21 10:50:25,765 INFO    SenderThread:11112 [sender.py:send_request_defer():598] handle sender defer: 7
2023-07-21 10:50:26,124 INFO    Thread-16 :11112 [dir_watcher.py:_on_file_modified():289] file/dir modified: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105001-7pr2dzb3\files\config.yaml
2023-07-21 10:50:26,124 INFO    Thread-16 :11112 [dir_watcher.py:_on_file_modified():289] file/dir modified: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105001-7pr2dzb3\files\wandb-summary.json
2023-07-21 10:50:26,124 INFO    Thread-16 :11112 [dir_watcher.py:_on_file_created():272] file/dir created: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105001-7pr2dzb3\files\output.log
2023-07-21 10:50:26,374 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: poll_exit
2023-07-21 10:50:27,330 INFO    SenderThread:11112 [sender.py:transition_state():602] send defer: 8
2023-07-21 10:50:27,330 DEBUG   SenderThread:11112 [sender.py:send_request():396] send_request: poll_exit
2023-07-21 10:50:27,330 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:50:27,330 INFO    HandlerThread:11112 [handler.py:handle_request_defer():170] handle defer: 8
2023-07-21 10:50:27,330 DEBUG   SenderThread:11112 [sender.py:send_request():396] send_request: defer
2023-07-21 10:50:27,330 INFO    SenderThread:11112 [sender.py:send_request_defer():598] handle sender defer: 8
2023-07-21 10:50:27,330 INFO    SenderThread:11112 [job_builder.py:build():240] Attempting to build job artifact
2023-07-21 10:50:27,346 INFO    SenderThread:11112 [job_builder.py:build():264] is repo sourced job
2023-07-21 10:50:27,361 INFO    SenderThread:11112 [job_builder.py:build():305] adding wandb-job metadata file
2023-07-21 10:50:27,377 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: poll_exit
2023-07-21 10:50:27,377 INFO    SenderThread:11112 [sender.py:transition_state():602] send defer: 9
2023-07-21 10:50:27,377 DEBUG   SenderThread:11112 [sender.py:send_request():396] send_request: poll_exit
2023-07-21 10:50:27,377 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:50:27,377 INFO    HandlerThread:11112 [handler.py:handle_request_defer():170] handle defer: 9
2023-07-21 10:50:27,377 DEBUG   SenderThread:11112 [sender.py:send():369] send: artifact
2023-07-21 10:50:28,130 INFO    Thread-16 :11112 [dir_watcher.py:_on_file_modified():289] file/dir modified: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105001-7pr2dzb3\files\output.log
2023-07-21 10:50:28,380 DEBUG   HandlerThread:11112 [handler.py:handle_request():144] handle_request: poll_exit
